date,agency_id,route_id,stopid_geton,stopid_getoff,count
20240401,5230001002133,富大附病院・朝日循環線(316_2_1),3946_01,101_03,120
20240401,5230001002133,堤防・熊野経由八尾・萩の島循環線(323_4_1),101_06,3542_01,70
20240401,5230001002133,富大附病院・朝日循環線(316_1_1),101_03,3946_01,60
20240401,5230001002133,４１号線(笹津・猪谷)線(112_2_1),325_02,101_11,60
20240401,5230001002133,水橋・滑川線(102_1_1),116_01,121_01,40
20240401,5230001002133,水橋・滑川線(102_2_1),121_02,116_02,50
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,325_01,40
20240401,5230001002133,興人・国立高専線(346_2_1),1826_01,101_07,50
20240401,5230001002133,富大附病院・朝日循環線(316_2_1),3946_01,3206_01,40
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,310_01,40
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,326_01,60
20240401,5230001002133,４１号線(笹津・猪谷)線(112_2_1),308_02,101_11,40
20240401,5230001002133,堤防・熊野経由八尾・萩の島循環線(323_4_1),3542_02,101_06,30
20240401,5230001002133,富大附病院・朝日循環線(316_1_1),3206_01,3946_01,30
20240401,5230001002133,４１号線(笹津・猪谷)線(112_2_1),313_02,101_11,40
20240401,5230001002133,高岡・新湊線(310_1_1),101_03,3211_01,30
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,309_01,30
20240401,5230001002133,富大附病院・朝日循環線(316_1_1),101_11,3946_01,30
20240401,5230001002133,富大附病院・朝日循環線(316_1_1),103_07,3946_01,30
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,324_01,30
20240401,5230001002133,(若竹町)辰尾・笹津線(115_1_2),101_05,1914_01,30
20240401,5230001002133,新桜・老人・石坂～中央病院線(106_1_1),3803_01,101_08,20
20240401,5230001002133,４１号線(笹津・猪谷)線(112_2_1),311_02,101_11,20
20240401,5230001002133,富大附病院・朝日循環線(316_2_1),3946_01,3202_01,20
20240401,5230001002133,新桜・老人・石坂～中央病院線(106_2_3),101_07,3803_02,20
20240401,5230001002133,高岡・新湊線(310_1_2),103_07,3208_01,20
20240401,5230001002133,高岡・新湊線(310_2_1),3239_02,101_11,20
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,308_01,20
20240401,5230001002133,４１号線(笹津・猪谷)線(112_1_1),101_05,323_01,20
20240401,5230001002133,４１号線(笹津・猪谷)線(112_2_1),310_02,101_11,30
20240401,5230001002133,堤防・熊野経由八尾・萩の島循環線(323_1_1),101_06,3527_01,20
20240401,5230001002133,高岡・新湊線(310_1_2),101_03,3211_01,20
20240401,5230001002133,高岡・新湊線(310_2_3),3239_02,101_11,30
