date,agency_id,route_id,trip_id,stop_id,stop_sequence,count_geton,count_getoff
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,101_05,1,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,310_01,12,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,314_01,16,0,1
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,317_01,19,0,2
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,318_01,20,0,2
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時05分_系統112_1_1,321_01,23,0,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,331_02,2,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,328_02,5,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,325_02,7,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,323_02,9,10,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,316_02,16,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,313_02,19,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,310_02,22,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,308_02,24,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,307_02,25,0,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,305_02,27,5,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,301_09,30,0,10
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,103_08,31,0,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時20分_系統112_2_1,101_11,33,0,45
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3712_01,5,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3446_02,25,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3444_02,27,10,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3443_02,28,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3442_02,29,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3407_02,32,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3406_02,33,5,0
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3403_02,37,5,5
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,3401_02,39,0,10
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,102_08,42,0,10
20240401,5230001002133,山田・国病・簡保線(320_2_1),平日_06時20分_系統320_2_1,101_11,43,0,20
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,101_05,1,10,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,102_05,2,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,310_01,12,0,1
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,324_01,26,0,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,325_01,27,0,5
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,330_01,31,0,2
20240401,5230001002133,４１号線（笹津・猪谷）線(112_1_1),平日_06時25分_系統112_1_1,332_01,33,0,2
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,3475_01,12,5,0
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,3507_02,29,5,0
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,3544_02,34,5,0
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,308_02,36,5,0
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,307_02,37,0,2
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,102_08,44,0,3
20240401,5230001002133,富山空港・総合運動公園・成子経由八尾線(336_2_1),平日_06時25分_系統336_2_1,101_06,45,0,15
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時35分_系統112_2_1,331_02,2,5,0
20240401,5230001002133,４１号線（笹津・猪谷）線(112_2_1),平日_06時35分_系統112_2_1,325_02,7,5,0
